Driver,Nationality,Team,Age,Salary
Max Verstappen,Dutch,Red Bull,25,$$55.0MM
Lewis Hamilton,British,Mercedes,38,$$35.0MM
Charles Leclerc,Monegasque,Ferrari,25,$$24.0MM
Lando Norris,British,McLaren,23,$$20.0MM
Carlos Sainz,Spanish,Ferrari,28,$$12.0MM
George Russell,British,Mercedes,25,$$8.0MM
Esteban Ocon,French,Alpine,26,$$6.0MM
Fernando Alonso,Spanish,Aston Martin,41,$$5.0MM
Pierre Gasly,French,Alpine,27,$$5.0MM
Kevin Magnussen,Danish,Haas,30,$$5.0MM
Lance Stroll,Canadian,Aston Martin,24,$$2.0MM
Guanyu Zhou,Chinese,Alfa Romeo,23,$$2.0MM
Nyck de Vries,Dutch,AlphaTauri,28,$$2.0MM
Oscar Piastri,Australian,McLaren,21,$$2.0MM
Yuki Tsunoda,Japanese,AlphaTauri,22,$$1.0MM
Logan Sargeant,American,Williams,22,$$1.0MM
